xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
    155  XMMU_J100147.2+024458 150.446706  2.749590     1.30           0.55           0.04      243             18   205.93           1.19          42.46           2.49           0.30       219            19   163.90          1.67         42.78           1.33           0.28        59           12    16.39          1.31         36.84
    156  XMMU_J100054.5+020651 150.227446  2.114291     1.20           0.43           0.03      322             21   266.26           1.88          71.87           1.09           0.18       160            19    57.28          2.70         71.65          -1.06           0.00         0            0    -1.00         -1.00          0.00
    157  XMMU_J100033.0+021730 150.137775  2.291751     1.22           0.57           0.03      370             22   393.95           1.36          62.65           1.20           0.19       154            18    78.41          1.79         62.67          -0.93           0.00         0            0    -1.00         -1.00          0.00
    158  XMMU_J100105.7+023042 150.274108  2.511782     1.57           0.17           0.02       97             13    55.90           1.10          54.23           1.07           0.13       121            11    55.62          1.30         55.06          -2.64           0.20        42           11     6.89          1.07         47.76
    159  XMMU_J100017.9+021807 150.074711  2.302027     1.54           0.30           0.03      173             16   120.47           1.07          54.37           0.56           0.16        63            13    16.62          1.44         55.01          -0.45           0.00         0            0    -1.00         -1.00          0.00
    160  XMMU_J100037.9+020822 150.158061  2.139463     1.51           0.24           0.02      173             17    93.81           1.86          69.36           1.02           0.18       145            18    62.24          2.61         69.04          -1.04           0.20        51           13     7.09          2.08         59.42
    161  XMMU_J100108.4+020052 150.285406  2.014626     1.16           0.89           0.04      559             26   621.07           1.65          59.81           1.57           0.22       192            19    83.51          2.37         59.52          -1.21           0.25        68           15     9.18          1.84         50.90
    162  XMMU_J100136.3+024725 150.401551  2.790361     1.42           0.70           0.05      260             19   251.34           0.97          35.67           1.00           0.25        72            13    29.27          1.39         35.12          -1.72           0.00         0            0    -1.00         -1.00          0.00
    163  XMMU_J100114.3+022759 150.309766  2.466646     1.38           0.42           0.03      226             15   206.14           1.08          50.98           0.60           0.15        66            12    21.84          1.22         53.22          -1.53           0.00         0            0    -1.00         -1.00          0.00
    164  XMMU_J100118.5+015543 150.327153  1.928674     1.13           1.22           0.05      650             25   959.03           1.46          50.91           1.74           0.24       184            19    98.10          2.09         51.32          -1.71           0.00         0            0    -1.00         -1.00          0.00
    165  XMMU_J100043.1+021352 150.179913  2.231318     1.31           0.44           0.03      260             16   243.17           1.33          56.98           0.79           0.19        94            16    29.84          1.77         57.96          -0.51           0.00         0            0    -1.00         -1.00          0.00
    166  XMMU_J100040.1+024752 150.167344  2.797824     1.14           1.76           0.08      510             23   791.13           0.70          27.75           2.78           0.35       168            15   122.42          1.02         29.42          -1.77           0.00         0            0    -1.00         -1.00          0.00
    167  XMMU_J095932.9+020701 149.887486  2.117195     1.45           0.38           0.03      217             18   167.12           1.21          55.34           0.79           0.17        90            14    34.56          1.58         55.42          -0.38           0.00         0            0    -1.00         -1.00          0.00
    168  XMMU_J100024.9+023956 150.104053  2.665782     1.14           0.81           0.05      376             23   401.75           1.05          44.35           1.38           0.23       127            15    61.26          1.43         44.97          -0.94           0.00         0            0    -1.00         -1.00          0.00
    169  XMMU_J095856.6+020139 149.735960  2.027742     1.21           0.84           0.04      456             24   476.05           1.82          52.06           1.57           0.24       171            19    64.31          2.97         53.08          -1.11           0.00         0            0    -1.00         -1.00          0.00
    170  XMMU_J095917.2+021515 149.822054  2.254326     1.39           0.43           0.04      210             17   191.51           1.15          46.44           0.70           0.17        69            12    21.02          1.59         48.16          -0.34           0.00         0            0    -1.00         -1.00          0.00
    171  XMMU_J100128.0+021819 150.366880  2.305543     1.39           0.45           0.03      246             18   223.80           1.30          52.61           0.79           0.18        85            14    48.08          1.59         52.89          -1.81           0.00         0            0    -1.00         -1.00          0.00
    172  XMMU_J100146.6+022211 150.444285  2.369754     1.31           0.53           0.03      352             22   313.52           1.81          63.70           0.62           0.16        82            15    21.09          2.42         64.60          -1.78           0.00         0            0    -1.00         -1.00          0.00
    173  XMMU_J100002.9+023133 150.012139  2.525988     1.42           0.15           0.02       81             12    30.03           1.32          53.50           2.28           0.25       252            20   179.28          1.84         53.64           1.79           0.27        98           14    46.93          1.52         45.39
    174  XMMU_J100141.8+024927 150.424537  2.824255     1.48           0.74           0.05      245             17   219.09           1.00          31.52           1.22           0.30        79            14    24.86          1.46         31.36          -3.36           0.00         0            0    -1.00         -1.00          0.00
    175  XMMU_J095852.9+022056 149.720774  2.349090     1.06           1.77           0.06     1112             36  1596.49           2.20          60.31           2.82           0.27       350            24   210.15          3.15         60.27           1.32           0.27        78           15    14.36          2.44         49.51
    176  XMMU_J100148.9+024820 150.454116  2.805721     1.39           0.60           0.05      201             16   177.20           0.93          32.42           1.42           0.29        95            14    39.04          1.31         32.59          -4.24           0.40        47           13     6.99          1.03         26.91
    177  XMMU_J095840.3+020806 149.668206  2.135226     1.21           0.87           0.05      433             24   491.77           1.74          47.65           1.29           0.26       127            18    40.37          2.99         48.00          -0.80           0.00         0            0    -1.00         -1.00          0.00
    178  XMMU_J100014.0+022837 150.058654  2.476985     1.45           0.38           0.03      177             14   143.61           0.94          44.81           1.09           0.20       103            14    45.69          1.21         45.83          -0.78           0.00         0            0    -1.00         -1.00          0.00
    179  XMMU_J100056.6+021720 150.236102  2.289050     1.35           0.28           0.02      240             18   154.00           2.06          81.20          -1.22           0.13        71            15     8.64          2.79         80.50          -1.14           0.00         0            0    -1.00         -1.00          0.00
    180  XMMU_J100050.1+022855 150.208881  2.482019     1.72           0.30           0.02      160             12   125.47           1.01          51.95          -1.82           0.00         0             0    -1.00         -1.00          0.00          -1.88           0.00         0            0    -1.00         -1.00          0.00
    181  XMMU_J100104.1+020319 150.267481  2.055542     1.14           0.59           0.04      361             22   286.43           1.66          58.96           1.18           0.20       145            17    49.16          2.40         59.74          -1.53           0.00         0            0    -1.00         -1.00          0.00
    182  XMMU_J100117.0+021958 150.320990  2.332973     1.52           0.29           0.02      171             13   127.65           1.43          56.87           1.02           0.19       121            16    39.79          1.86         57.46          -1.98           0.00         0            0    -1.00         -1.00          0.00
    184  XMMU_J100053.7+023303 150.224023  2.550935     1.49           0.33           0.03      243             19   158.15           1.64          71.34          -1.71           0.00         0             0    -1.00         -1.00          0.00          -1.87           0.00         0            0    -1.00         -1.00          0.00
    185  XMMU_J095958.8+020023 149.995315  2.006546     1.40           0.58           0.03      279             16   275.23           1.10          46.34           0.97           0.21        93            15    30.47          1.33         46.96          -0.78           0.00         0            0    -1.00         -1.00          0.00
    186  XMMU_J095934.8+020249 149.895271  2.047117     1.42           0.43           0.03      225             17   183.06           1.18          50.64           0.58           0.18        59            14    12.19          1.52         50.15          -0.89           0.00         0            0    -1.00         -1.00          0.00
    187  XMMU_J100057.8+023931 150.240869  2.658730     1.38           0.38           0.03      245             18   180.09           1.47          62.17           0.87           0.18       110            16    31.88          2.09         61.94          -2.46           0.20        52           12     9.24          1.71         53.24
    188  XMMU_J095829.8+021049 149.624475  2.180539     1.18           1.47           0.07      506             25   562.92           1.37          33.02           2.53           0.38       178            19    67.66          2.51         34.20          -1.67           0.00         0            0    -1.00         -1.00          0.00
    189  XMMU_J100030.4+023735 150.126984  2.626449     1.15           1.20           0.05      563             25   803.52           1.10          45.08           2.55           0.27       241            19   190.47          1.51         45.91           1.37           0.25        66           12    22.58          1.21         39.94
    191  XMMU_J100157.7+023804 150.490600  2.634663     1.31           0.30           0.03      168             17    82.73           1.59          54.61           2.58           0.27       292            22   173.88          2.28         54.82           1.29           0.28        70           15    12.14          1.82         45.20
    192  XMMU_J100100.2+024413 150.251212  2.737220     1.37           0.53           0.04      252             17   256.47           0.95          45.68           0.72           0.18        69            12    23.83          1.40         46.82          -1.70           0.00         0            0    -1.00         -1.00          0.00
    193  XMMU_J095849.5+021639 149.706544  2.277712     1.34           0.64           0.04      312             20   286.73           1.83          46.56           1.17           0.25       112            17    30.45          2.62         46.92          -0.89           0.00         0            0    -1.00         -1.00          0.00
    194  XMMU_J095954.6+022351 149.977784  2.397716     1.37           0.31           0.03      197             18   120.96           1.60          61.41           1.40           0.14       176            13    86.99          2.20         61.18          -1.13           0.00         0            0    -1.00         -1.00          0.00
    195  XMMU_J095950.7+022314 149.961496  2.387439     1.77           0.18           0.02      118             15    55.32           1.57          63.38           0.43           0.14        55            13    14.07          2.15         63.33          -1.50           0.00         0            0    -1.00         -1.00          0.00
    196  XMMU_J095920.9+020031 149.837245  2.008794     1.31           0.53           0.04      295             19   274.42           1.39          53.85           0.97           0.20       109            16    37.88          2.00         54.51          -0.89           0.00         0            0    -1.00         -1.00          0.00
    197  XMMU_J100039.2+023553 150.163612  2.598098     1.44           0.39           0.03      251             19   181.41           1.57          62.51           0.54           0.16        68            15    12.16          2.23         61.78          -1.27           0.00         0            0    -1.00         -1.00          0.00
    198  XMMU_J100047.8+014935 150.199540  1.826549     1.06           1.08           0.04      755             31   858.65           1.79          67.01           1.62           0.21       221            21    95.81          2.54         66.36          -1.50           0.22        60           14     8.85          2.04         55.61
    199  XMMU_J095858.6+020138 149.744578  2.027452     1.07           2.15           0.07     1017             34  1616.69           1.33          45.29           3.43           0.33       331            23   220.54          2.12         46.85           1.88           0.35        86           15    20.24          1.65         38.17
    200  XMMU_J100040.8+021309 150.170227  2.219240     1.47           0.22           0.03      115             14    73.61           0.97          50.40           1.11           0.20       118            15    59.88          1.25         51.81          -0.92           0.10        31            5     7.29          1.01         46.37
    201  XMMU_J100005.0+022513 150.020921  2.420324     1.40           0.38           0.03      240             18   188.31           1.35          60.41           0.67           0.17        83            15    22.93          1.79         60.13          -0.59           0.00         0            0    -1.00         -1.00          0.00
    202  XMMU_J100031.7+023123 150.132190  2.523243     1.48           0.12           0.02       72             13    23.15           1.32          57.37           1.89           0.23       222            19   136.11          1.79         57.29           1.39           0.26        84           15    26.84          1.49         50.80
    203  XMMU_J100116.2+021402 150.317747  2.233907     1.39           0.44           0.03      249             19   210.32           1.43          54.67           1.06           0.19       124            16    45.89          1.89         57.15          -1.80           0.22        53           13     7.71          1.46         49.16
    204  XMMU_J100201.3+024028 150.505704  2.674652     1.30           0.64           0.04      290             20   269.44           1.27          43.65           1.65           0.25       150            16    65.19          1.78         44.11           1.42           0.31        64           13    15.46          1.40         37.59
    205  XMMU_J100102.6+020317 150.261250  2.054867     1.45           0.22           0.03      142             17    60.64           1.83          61.62           1.13           0.19       144            18    50.75          2.64         62.01          -0.82           0.00         0            0    -1.00         -1.00          0.00
    206  XMMU_J100105.8+015918 150.274331  1.988431     1.56           0.22           0.02      101             10    57.15           1.05          44.42           1.40           0.24       128            16    70.91          1.47         44.61           1.53           0.18        72            8    28.62          1.15         39.32
    207  XMMU_J100230.5+024427 150.627469  2.740968     1.05           2.55           0.08     1156             35  2268.04           1.03          43.34           3.80           0.34       349            22   330.84          1.43         44.68           1.78           0.26        90           13    39.95          1.02         41.91
    208  XMMU_J100019.0+021558 150.079218  2.266246     1.61           0.17           0.02       95             13    47.91           1.14          55.10           1.00           0.18       114            15    51.41          1.45         55.82          -0.51           0.00         0            0    -1.00         -1.00          0.00
    209  XMMU_J100044.7+022720 150.186320  2.455643     1.60           0.19           0.02      102             13    59.78           1.04          52.77           1.00           0.18       110            15    50.86          1.24         53.60          -2.59           0.00         0            0    -1.00         -1.00          0.00
    210  XMMU_J100137.3+024324 150.405579  2.723391     1.45           0.40           0.04      172             16   145.88           1.09          40.96           1.05           0.24        90            15    30.87          1.47         41.64          -2.32           0.00         0            0    -1.00         -1.00          0.00
    211  XMMU_J100039.0+023718 150.162663  2.621929     1.40           0.31           0.03      217             18   133.44           1.69          67.36           0.87           0.17       119            17    33.15          2.35         66.46          -2.05           0.00         0            0    -1.00         -1.00          0.00
    212  XMMU_J095958.4+022237 149.993449  2.377099     1.33          -0.11           0.00        0              0    -1.00          -1.00           0.00           2.58           0.24       359            24   242.04          2.32         67.57           2.20           0.27       148           18    52.66          1.96         55.96
    214  XMMU_J100042.6+015323 150.177711  1.889744     1.49           0.22           0.02      156             17    97.57           1.85          66.92           0.59           0.16        80            15    17.24          2.56         66.26          -0.65           0.00         0            0    -1.00         -1.00          0.00
    215  XMMU_J100051.3+022831 150.213875  2.475328     1.55           0.20           0.02      108             13    58.19           1.03          52.87           0.85           0.16        93            13    44.34          1.20         53.63          -1.98           0.00         0            0    -1.00         -1.00          0.00
    216  XMMU_J100058.3+015207 150.243260  1.868651     1.31           0.56           0.03      431             24   335.84           2.16          73.22           1.09           0.18       162            19    54.89          3.06         72.73          -0.62           0.00         0            0    -1.00         -1.00          0.00
    217  XMMU_J095932.5+021037 149.885756  2.177055     1.60           0.10           0.02       53             11    12.96           1.14          52.37           1.52           0.22       167            17   110.35          1.48         53.48           1.37           0.24        78           13    28.44          1.21         47.42
    219  XMMU_J095927.7+020010 149.865734  2.002924     1.35           0.46           0.03      265             19   190.79           1.32          55.43           0.99           0.19       112            15    37.51          1.81         55.24          -0.19           0.00         0            0    -1.00         -1.00          0.00
    220  XMMU_J100121.2+024634 150.338648  2.776139     1.41           0.62           0.05      181             13   199.40           0.53          28.01           1.57           0.29        95            13    50.02          0.82         29.58          -2.83           0.00         0            0    -1.00         -1.00          0.00
    221  XMMU_J100213.2+023827 150.555012  2.640968     1.14           1.10           0.05      575             26   686.93           1.56          50.24           1.70           0.27       175            20    91.80          2.21         50.23           1.18           0.27        61           14    10.63          1.74         43.09
    222  XMMU_J095956.0+014727 149.983409  1.791032     1.30           0.69           0.04      353             21   320.45           1.58          48.70           0.87           0.22        86            15    17.95          2.33         48.40          -0.80           0.00         0            0    -1.00         -1.00          0.00
    223  XMMU_J100050.8+021111 150.211851  2.186528     1.69           0.26           0.03      143             16    90.10           1.36          53.66           0.59           0.16        66            13    21.52          1.85         54.46          -0.72           0.00         0            0    -1.00         -1.00          0.00
    227  XMMU_J100015.5+021126 150.064644  2.190623     1.59           0.15           0.03       66             12    22.60           0.86          42.84           1.28           0.22       115            14    67.33          1.02         43.53          -1.13           0.22        35           10     7.72          0.97         37.50
    228  XMMU_J100100.5+022910 150.252424  2.486270     1.58           0.43           0.04      197             16   177.28           0.66          43.56           0.60           0.18        54            11    15.20          0.81         43.86          -1.38           0.00         0            0    -1.00         -1.00          0.00
    229  XMMU_J095845.8+022008 149.691079  2.335588     1.32           0.48           0.04      260             20   176.90           2.02          51.89           1.85           0.27       197            21    74.75          2.85         51.89          -1.33           0.00         0            0    -1.00         -1.00          0.00
    230  XMMU_J095950.5+021306 149.960692  2.218588     1.66           0.19           0.03       88             12    46.05           0.86          45.34           1.10           0.20       104            13    50.08          1.08         46.06          -0.58           0.00         0            0    -1.00         -1.00          0.00
    231  XMMU_J100010.8+024117 150.045340  2.688106     1.36           0.60           0.04      263             19   238.81           1.08          41.72           0.81           0.21        70            13    20.49          1.50         42.53          -1.35           0.00         0            0    -1.00         -1.00          0.00
    233  XMMU_J100043.1+023716 150.179965  2.621361     1.40           0.30           0.03      213             18   122.39           1.62          67.44           0.98           0.18       135            17    46.69          2.28         66.69          -2.34           0.00         0            0    -1.00         -1.00          0.00
    234  XMMU_J100201.2+023151 150.505130  2.530858     1.59           0.09           0.02       56             13    42.65           1.69          60.50           1.42           0.21       175            19    75.44          2.32         60.14           0.81           0.23        49           13    10.25          1.89         50.28
    235  XMMU_J095926.0+022433 149.858438  2.409180     1.25           0.45           0.03      294             19   252.51           1.41          63.16           1.13           0.18       146            17    62.38          1.82         63.26          -0.76           0.00         0            0    -1.00         -1.00          0.00
    236  XMMU_J100139.7+023131 150.415714  2.525554     1.59           0.19           0.02      119             14    66.50           1.42          60.92          -2.20           0.13        49            12     8.71          1.71         61.59          -2.37           0.00         0            0    -1.00         -1.00          0.00
    237  XMMU_J100043.8+021450 150.182528  2.247481     1.69           0.15           0.02      103             15    50.22           1.54          64.66           0.55           0.14        74            13    23.87          2.05         65.47          -0.28           0.00         0            0    -1.00         -1.00          0.00
    238  XMMU_J100146.1+024550 150.442494  2.763955     1.72           0.23           0.03       96             13    54.93           1.09          39.45           0.95           0.23        77            14    31.48          1.61         39.70          -2.60           0.00         0            0    -1.00         -1.00          0.00
    239  XMMU_J100135.3+025406 150.397208  2.901941     1.90           0.73           0.08      111             12    97.53           0.43          14.56           1.13           0.41        33             8    10.54          0.62         14.17          -5.56           0.00         0            0    -1.00         -1.00          0.00
    240  XMMU_J100000.7+020925 150.003059  2.156976     1.97           0.16           0.02      100             14    39.57           1.41          59.98           0.52           0.09        63             7    12.52          1.97         59.38          -0.63           0.00         0            0    -1.00         -1.00          0.00
    241  XMMU_J100013.9+022249 150.057942  2.380521     1.76           0.37           0.03      201             18   129.07           1.14          51.58          -0.68           0.00         0             0    -1.00         -1.00          0.00          -0.74           0.00         0            0    -1.00         -1.00          0.00
    242  XMMU_J100039.7+020800 150.165787  2.133552     1.52           0.25           0.02      188             18   110.28           1.81          70.78           0.55           0.15        78            15    15.22          2.59         70.08          -0.76           0.00         0            0    -1.00         -1.00          0.00
    243  XMMU_J100210.2+023621 150.542847  2.605896     1.28           0.73           0.04      423             23   381.24           1.72          55.36           1.13           0.21       128            17    43.92          2.37         55.12          -2.06           0.00         0            0    -1.00         -1.00          0.00
    245  XMMU_J100100.9+021949 150.254132  2.330521     1.69           0.18           0.02      151             17    65.22           2.08          82.51           0.52           0.14        87            16    16.39          2.79         81.52          -1.74           0.00         0            0    -1.00         -1.00          0.00
    246  XMMU_J100012.3+022938 150.051283  2.494034     1.68           0.09           0.02       51             10    17.49           1.32          56.34           1.09           0.19       127            16    56.79          1.83         56.68          -0.65           0.00         0            0    -1.00         -1.00          0.00
    247  XMMU_J100033.9+021554 150.141653  2.265142     1.68           0.14           0.02       93             13    42.88           1.55          66.08           0.59           0.16        80            15    21.89          2.11         66.44          -0.19           0.00         0            0    -1.00         -1.00          0.00
    248  XMMU_J100047.0+020708 150.196075  2.119127     1.63           0.16           0.02      118             16    36.03           1.86          69.27           0.88           0.17       123            18    34.26          2.58         68.63           0.96           0.23        66           15    10.09          2.09         57.48
    249  XMMU_J100023.0+020842 150.095973  2.145035     1.53           0.26           0.03      131             14    97.73           0.96          49.20           0.75           0.17        77            12    30.60          1.22         49.93          -0.24           0.00         0            0    -1.00         -1.00          0.00
    250  XMMU_J100015.4+021945 150.064534  2.329216     1.80           0.24           0.03      127             14    65.84           0.99          50.86          -0.38           0.00         0             0    -1.00         -1.00          0.00          -0.54           0.00         0            0    -1.00         -1.00          0.00
    252  XMMU_J100142.6+023329 150.427692  2.558235     1.61           0.13           0.02       80             14    27.01           1.49          59.98           1.21           0.19       149            17    66.99          1.89         59.90           1.14           0.22        71           13    14.18          1.54         52.28
    253  XMMU_J100011.2+020629 150.046878  2.108124     1.53           0.23           0.02      139             11    83.06           1.40          58.75           0.84           0.11       102            10    29.37          1.94         58.93          -0.99           0.00         0            0    -1.00         -1.00          0.00
    254  XMMU_J100007.3+022130 150.030799  2.358371     1.56           0.32           0.03      178             17   100.55           1.24          52.93          -1.49           0.00         0             0    -1.00         -1.00          0.00          -0.90           0.00         0            0    -1.00         -1.00          0.00
    255  XMMU_J100015.9+021236 150.066663  2.210103     2.37          -0.18           0.00        0              0    -1.00          -1.00           0.00           1.19           0.22       105            14    60.46          1.07         43.03           1.29           0.27        57           11    23.01          0.89         37.30
    256  XMMU_J100046.8+014737 150.195025  1.793710     1.46           0.40           0.03      274             20   190.69           1.75          65.81          -0.47           0.00         0             0    -1.00         -1.00          0.00          -0.23           0.00         0            0    -1.00         -1.00          0.00
    257  XMMU_J095943.7+022007 149.932296  2.335295     1.51          -0.16           0.02       51             12     8.16           1.63          65.62           1.13           0.20       150            19    45.98          2.21         64.74           1.32           0.25        86           16    18.50          1.86         54.37
    258  XMMU_J100054.5+023215 150.227119  2.537526     1.59          -0.21           0.00        0              0    -1.00          -1.00           0.00           1.27           0.18       170            18    70.88          2.15         65.19           1.27           0.23        84           14    19.10          1.75         54.93
    259  XMMU_J100013.6+022223 150.056676  2.373271     1.88           0.23           0.03      127             15    66.97           1.24          52.60          -1.07           0.00         0             0    -1.00         -1.00          0.00          -0.75           0.00         0            0    -1.00         -1.00          0.00
    262  XMMU_J095931.7+023018 149.882331  2.505238     1.25           0.57           0.04      363             22   323.58           1.46          61.20           0.94           0.18       120            16    40.00          1.86         61.70          -1.07           0.00         0            0    -1.00         -1.00          0.00
    263  XMMU_J100204.5+021914 150.518906  2.320727     1.24           0.59           0.04      364             22   333.04           1.73          59.46           1.16           0.19       145            17    56.64          2.45         60.80          -0.87           0.00         0            0    -1.00         -1.00          0.00
    264  XMMU_J100051.5+021922 150.214742  2.322895     1.52           0.26           0.02      209             19   110.01           1.98          78.06           0.65           0.15       103            17    21.82          2.69         77.03          -1.04           0.00         0            0    -1.00         -1.00          0.00
    265  XMMU_J100042.3+014534 150.176349  1.759537     1.32           0.63           0.04      391             22   191.76           1.63          59.43           0.72           0.17        89            15    21.41          2.21         60.13          -0.60           0.00         0            0    -1.00         -1.00          0.00
    266  XMMU_J100100.5+023133 150.252102  2.525852     1.59           0.11           0.02       69             12    17.74           1.31          59.09           1.22           0.19       150            17    68.44          1.66         59.94          -3.07           0.00         0            0    -1.00         -1.00          0.00
    268  XMMU_J095909.9+022018 149.791603  2.338361     1.48           0.38           0.03      224             18   159.12           1.58          56.56           0.69           0.19        81            16    17.86          2.22         56.66          -0.50           0.00         0            0    -1.00         -1.00          0.00
    269  XMMU_J095958.2+015127 149.992827  1.857736     1.46           0.28           0.03      166             16    99.52           1.71          56.29           1.04           0.20       119            16    36.68          2.46         56.04          -1.51           0.24        52           13     7.20          1.94         46.40
    270  XMMU_J100025.4+020052 150.105891  2.014548     1.90           0.12           0.02       63             11    30.80           1.06          51.68          -0.66           0.00         0             0    -1.00         -1.00          0.00          -0.54           0.00         0            0    -1.00         -1.00          0.00
    271  XMMU_J100114.0+015444 150.308695  1.912259     1.37           0.46           0.03      230             17   163.23           1.41          48.48           1.13           0.22       115            16    37.71          2.06         49.68          -1.35           0.00         0            0    -1.00         -1.00          0.00
    272  XMMU_J095936.4+021938 149.901929  2.327367     1.72           0.12           0.02       79             13    22.27           1.45          64.83           0.62           0.16        80            14    22.64          1.93         63.27          -0.62           0.00         0            0    -1.00         -1.00          0.00
    273  XMMU_J100131.9+024324 150.382954  2.723365     1.43           0.36           0.03      151             14   122.86           1.08          40.48          -2.18           0.00         0             0    -1.00         -1.00          0.00          -1.78           0.00         0            0    -1.00         -1.00          0.00
    274  XMMU_J100005.3+023058 150.022149  2.516176     1.67           0.18           0.02       98             13    45.54           1.27          53.55           0.93           0.19       102            15    40.47          1.78         53.52          -1.19           0.00         0            0    -1.00         -1.00          0.00
    275  XMMU_J100038.0+024930 150.158738  2.825186     1.28           1.09           0.06      326             18   413.19           0.73          28.60           1.70           0.31       102            13    48.53          1.08         29.37           1.28           0.21        38            6    10.10          0.85         24.85
    277  XMMU_J100117.3+025255 150.322094  2.882031     1.81           0.61           0.07      122             13    98.05           0.55          19.29           1.09           0.34        42             9    13.27          0.80         19.03          -2.00           0.00         0            0    -1.00         -1.00          0.00
    278  XMMU_J100022.2+020605 150.092504  2.101530     1.90           0.15           0.02       77             12    36.63           1.03          50.88          -0.94           0.00         0             0    -1.00         -1.00          0.00          -0.64           0.00         0            0    -1.00         -1.00          0.00
    279  XMMU_J100036.5+020405 150.152249  2.068316     1.89           0.18           0.03      124             17    37.27           1.69          65.06           0.54           0.16        71            15    10.09          2.37         64.09          -1.05           0.00         0            0    -1.00         -1.00          0.00
    280  XMMU_J100153.3+021929 150.472210  2.324914     1.58          -0.20           0.00        0              0    -1.00          -1.00           0.00           1.17           0.17       186            20    74.74          2.83         77.39          -1.74           0.00         0            0    -1.00         -1.00          0.00
    281  XMMU_J100035.3+024303 150.147201  2.717581     1.30           0.64           0.04      289             19   303.33           1.01          43.27           1.24           0.22       114            14    53.42          1.40         45.00          -1.11           0.00         0            0    -1.00         -1.00          0.00
    282  XMMU_J095929.2+022034 149.871979  2.342931     1.59           0.30           0.03      175             16   110.61           1.23          56.41           0.73           0.17        84            14    24.01          1.59         56.06          -1.10           0.00         0            0    -1.00         -1.00          0.00
    283  XMMU_J100157.8+024200 150.491156  2.700249     1.32           0.77           0.05      301             19   303.16           0.96          37.57           1.53           0.26       120            15    53.93          1.33         38.18          -3.09           0.29        40           11     6.23          1.03         32.64
    284  XMMU_J095942.8+021752 149.928699  2.298048     1.38           0.28           0.02      197             14   137.64           1.58          68.06           0.78           0.16       108            15    33.54          2.11         66.97          -0.65           0.00         0            0    -1.00         -1.00          0.00
    285  XMMU_J095917.4+020522 149.822902  2.089469     1.45           0.43           0.03      224             17   183.36           1.20          49.81          -0.47           0.17        58            12     9.28          1.67         49.62          -0.27           0.00         0            0    -1.00         -1.00          0.00
    287  XMMU_J100133.4+024249 150.389284  2.713841     1.78           0.32           0.04      133             14    86.21           1.14          39.59          -2.06           0.19        39            12     6.04          1.65         42.01          -2.29           0.00         0            0    -1.00         -1.00          0.00
    288  XMMU_J095902.5+022511 149.760518  2.419744     1.26           0.58           0.03      371             21   339.95           1.82          60.97           0.94           0.18       118            16    36.55          2.24         61.45          -1.04           0.00         0            0    -1.00         -1.00          0.00
    290  XMMU_J095936.4+021612 149.901948  2.270162     2.13           0.14           0.02       85             13    37.14           1.34          57.62          -0.81           0.00         0             0    -1.00         -1.00          0.00          -0.71           0.00         0            0    -1.00         -1.00          0.00
    291  XMMU_J100014.2+020643 150.059347  2.112208     2.06           0.13           0.02       64             12    16.72           1.08          49.32           0.91           0.20        94            15    29.04          1.46         50.48          -0.89           0.00         0            0    -1.00         -1.00          0.00
    292  XMMU_J100209.0+022448 150.537694  2.413462     1.24           0.17           0.02      109             14    52.15           1.54          60.29           2.54           0.24       315            22   232.13          2.07         60.18           2.19           0.27       134           16    52.67          1.72         50.99
    293  XMMU_J095926.9+015341 149.862228  1.894922     1.12           0.91           0.05      369             21   422.41           1.07          38.72           4.34           0.38       354            22   332.19          1.56         39.65           2.41           0.33       101           13    57.75          1.17         34.72
    294  XMMU_J095937.5+015501 149.906306  1.917208     1.21           0.76           0.04      352             20   418.63           1.21          44.68           1.52           0.24       143            16    74.07          1.73         45.70          -1.23           0.00         0            0    -1.00         -1.00          0.00
    295  XMMU_J100147.3+024727 150.447134  2.790917     1.76           0.28           0.04       99             13    64.45           0.99          33.96          -2.43           0.22        41            11     6.97          1.32         34.19          -1.91           0.00         0            0    -1.00         -1.00          0.00
    296  XMMU_J095959.5+022458 149.998023  2.416163     1.88           0.20           0.02      112             10    57.88           1.19          53.03           0.59           0.18        65            14    10.49          1.60         53.87          -1.20           0.00         0            0    -1.00         -1.00          0.00
    297  XMMU_J100014.9+023933 150.062210  2.659210     1.39           0.51           0.04      252             18   216.47           1.24          47.89           1.02           0.20       102            15    32.84          1.72         48.85          -1.04           0.00         0            0    -1.00         -1.00          0.00
    298  XMMU_J100016.5+021351 150.068865  2.231003     1.51           0.25           0.03      133             14   108.63           1.10          50.68           0.48           0.14        50            10    13.12          1.39         51.89          -0.51           0.00         0            0    -1.00         -1.00          0.00
    300  XMMU_J100050.2+022618 150.209291  2.438439     2.03           0.16           0.02       92              9    50.46           1.04          54.38          -1.76           0.00         0             0    -1.00         -1.00          0.00          -2.07           0.00         0            0    -1.00         -1.00          0.00
    301  XMMU_J095901.4+020702 149.756199  2.117494     1.89           0.24           0.03      143             18    55.94           1.99          56.33           0.51           0.17        59            14    10.20          3.25         56.58          -0.32           0.00         0            0    -1.00         -1.00          0.00
    302  XMMU_J100013.7+021222 150.057095  2.206310     2.01           0.19           0.03       96             12    46.36           0.87          48.60           0.68           0.17        69            12    21.81          1.10         49.36           0.93           0.22        48           11    11.12          0.91         43.73
