xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
     31  XMMU_J095946.9+022209 149.945597  2.369221     1.04           1.74           0.05     1297             38  2096.72           1.74          71.19           2.79           0.23       404            25   294.20          2.48         70.54           1.27           0.23        89           16    17.05          1.99         58.77
     32  XMMU_J095926.2+021529 149.859221  2.258144     1.14           1.09           0.04      643             25   971.74           1.18          56.25           2.69           0.26       312            22   246.28          1.55         56.32           1.37           0.15        83            9    29.02          1.30         50.65
     33  XMMU_J100114.2+022356 150.309575  2.399083     1.06           1.56           0.05      971             33  1539.63           1.50          59.43           2.69           0.25       336            22   260.84          1.94         60.53           1.47           0.24        91           14    36.09          1.53         51.45
     34  XMMU_J095958.5+021805 149.993760  2.301442     1.11           1.22           0.05      885             33  1118.22           1.63          69.35           2.15           0.22       302            22   176.66          2.22         68.25           1.34           0.23        92           16    20.55          1.88         57.16
     35  XMMU_J095928.3+022107 149.868120  2.351989     1.14           1.27           0.05      719             28  1163.88           1.13          54.14           1.38           0.21       153            17    76.68          1.46         54.06          -1.37           0.00         0            0    -1.00         -1.00          0.00
     37  XMMU_J095940.0+022306 149.916980  2.385118     1.07           1.44           0.04     1066             32  1651.10           1.67          70.97           2.41           0.22       347            23   263.57          2.22         70.02           1.20           0.13        88            9    26.36          1.87         60.64
     38  XMMU_J100058.8+015359 150.245126  1.899753     1.05           1.71           0.05     1199             37  1809.48           2.00          66.95           2.73           0.25       376            25   231.19          2.85         66.99          -1.18           0.22        67           14     9.24          2.28         55.49
     39  XMMU_J100159.4+023934 150.497618  2.659684     1.10           2.31           0.07     1077             32  1809.35           1.25          44.62           3.68           0.35       341            23   249.32          1.78         45.03           1.72           0.20        78            8    19.64          1.39         37.69
     40  XMMU_J100114.7+020208 150.311658  2.035748     1.02           2.14           0.06     1377             39  2421.11           1.76          61.46           3.83           0.29       488            27   408.01          2.52         61.87           2.16           0.28       137           17    53.29          1.95         52.57
     41  XMMU_J100025.3+020734 150.105662  2.126228     1.17           0.82           0.04      433             22   563.84           0.98          50.90           2.72           0.27       289            20   271.18          1.24         51.60           1.78           0.26        97           13    44.31          1.03         45.36
     42  XMMU_J100202.7+022434 150.511523  2.409563     1.07           1.70           0.06     1059             34  1706.14           1.61          59.65           2.46           0.24       303            21   198.07          2.17         59.76           1.10           0.24        66           14    11.44          1.79         50.20
     43  XMMU_J095920.2+021831 149.834184  2.308670     1.15           1.09           0.05      508             25   751.21           0.81          44.70           2.68           0.28       247            19   236.79          1.06         44.86           1.05           0.24        50           11    16.35          0.88         39.66
     44  XMMU_J100051.4+021215 150.214529  2.204232     1.12           1.20           0.05      670             27  1023.60           1.13          53.60           2.12           0.23       236            18   171.80          1.50         54.30           1.10           0.23        63           13    15.65          1.16         48.06
     45  XMMU_J100120.6+022600 150.335989  2.433593     1.23           0.54           0.04      321             21   333.23           1.34          56.61           2.09           0.23       251            20   214.50          1.60         58.39           1.38           0.22        86           13    34.75          1.26         51.73
     47  XMMU_J100116.2+023606 150.317898  2.601891     1.14           1.20           0.05      667             27   938.57           1.19          53.30           2.16           0.24       238            19   164.66          1.55         53.37           1.05           0.22        59           12    13.26          1.29         47.04
     48  XMMU_J095905.1+021529 149.771530  2.258199     1.10           1.37           0.06      690             28   978.65           1.46          48.04           3.42           0.31       342            23   297.98          2.30         48.69           2.43           0.32       122           16    51.30          1.79         41.72
     49  XMMU_J100017.4+020011 150.072853  2.003149     1.18           1.01           0.05      555             25   740.19           1.05          52.75           1.83           0.23       203            18   143.77          1.39         54.18           1.02           0.22        57           12    12.47          1.12         47.07
     50  XMMU_J095934.0+021706 149.891973  2.285042     1.14           0.93           0.04      598             26   756.33           1.30          61.33           2.30           0.25       290            22   206.48          1.77         61.24           1.58           0.24       101           15    31.08          1.50         53.34
     51  XMMU_J100014.1+020053 150.058859  2.014971     1.15           1.04           0.04      670             28   851.21           1.40          61.47           1.73           0.21       220            20   132.76          1.88         61.91           1.10           0.21        70           13    20.21          1.54         53.24
     52  XMMU_J100016.2+015103 150.067831  1.850980     1.15           1.14           0.05      581             25   829.17           1.21          48.76           1.91           0.24       194            18    99.87          1.59         49.22          -1.74           0.25        50           12     6.43          1.29         42.46
     53  XMMU_J100115.2+024811 150.313705  2.803162     1.09           1.69           0.07      638             26  1060.68           0.84          36.15           2.20           0.29       167            16   112.77          1.21         36.90           1.25           0.30        47           11    13.63          0.99         31.89
     54  XMMU_J100131.1+022924 150.379588  2.490114     1.16           1.00           0.04      608             26   800.97           1.28          58.21           0.99           0.17       121            15    54.99          1.46         59.33          -2.40           0.00         0            0    -1.00         -1.00          0.00
     55  XMMU_J100020.4+020913 150.085019  2.153644     1.24           0.55           0.03      321             17   379.01           1.17          56.05           1.81           0.17       211            14   176.30          1.53         56.70           0.86           0.12        51            7    13.46          1.28         49.17
     56  XMMU_J100001.0+021413 150.004351  2.237128     1.17           1.19           0.06      478             24   695.27           0.77          38.53           2.18           0.27       178            16   128.63          1.00         39.80           1.46           0.29        59           11    20.63          0.84         33.69
     57  XMMU_J100157.7+024631 150.490736  2.775423     1.09           1.78           0.07      745             29  1152.76           1.19          40.03           5.45           0.41       450            25   427.55          1.69         40.13           3.01           0.37       124           14    62.28          1.32         34.24
     59  XMMU_J100046.8+020016 150.195311  2.004466     1.18           0.70           0.03      397             19   459.60           1.29          54.71           1.14           0.14       130            11    62.05          1.73         55.42          -1.13           0.00         0            0    -1.00         -1.00          0.00
     60  XMMU_J100051.8+015918 150.216201  1.988601     1.22           0.79           0.04      388             21   504.88           1.10          47.18           1.56           0.22       155            16   105.28          1.48         48.24           1.22           0.25        62           12    18.70          1.15         42.32
