 IAU_ID               CID     XRA          XDec F(0.5-2_keV)  F(2-10_keV) F(0.5-10_keV)  RA            Dec    Capak_ID   Ilber_ID   ORA       ODec       i_mag    i_mag_err  KRA         KDec      K_mag    K_mag_err  Irac_RA   Irac_Dec  F(3.6micron) F(3.6micron)err ID_flag  Star_flag Offnu_flag z_spec     z_spec_class z_sepc_qual z_spec_or  z_phot  z_phot_class XMMID   
  CXOC100104.2+020320  39       150.26751   2.055629   2.91E-15      7.51E-15      1.09E-14      150.26744    2.05569    1212775    751114     150.26744    2.05569    24.71    0.06        150.267512   2.055627   21.39     0.02        150.267563   2.055608   21.37            0.11             1         -99       -99          -99.0    -99          -99             -99       1.719    3            181    
  CXOC100047.9+021127  40       150.19974   2.190907   4.69E-15      9.69E-15      1.63E-14      150.19975    2.190866   1623780    1009041    150.19975    2.190866   21.09    0.04        150.19976    2.190856   20.3      0.01        150.199758   2.190876   48.19            0.14             1         -99       -99          1.51     1            3               5         1.525    1            94     
  CXOC100040.9+020717  41       150.1704    2.121475   1.31E-15      4.22E-15      4.81E-15      150.17022    2.121434   1235583    766637     150.17022    2.121434   24.63    0.06        150.170268   2.121382   22.67     0.07        150.170261   2.121416   5.87             0.1              1         -99       -99          1.813    2            4               6         1.635    3            345    
  CXOC100043.2+020637  42       150.1798    2.11034    1.83E-14      3.62E-14      6.47E-14      150.17979    2.110378   1236435    767213     150.17979    2.110378   19.18    0.01        150.179799   2.110334   18.0      0.01        150.179774   2.11034    228.84           0.33             1         -99       -99          0.36     1            4               1         0.326    1            6      
  CXOC100045.5+020935  44       150.18966   2.159718   1.23E-15      3.56E-15      5.23E-15      150.18958    2.159761   1631490    1014432    150.18958    2.159761   23.86    0.04        150.189601   2.159756   21.73     0.03        150.189591   2.159758   7.9              0.1              1         -99       -99          -99.0    -99          -99             -99       1.513    3            374    
  CXOC100046.6+020625  45       150.19426   2.106866   6.44E-16      5.88E-15      5.32E-15      150.19428    2.106767   1239109    768974     150.19428    2.106767   24.41    0.05        150.194262   2.106819   23.21     0.12        150.194273   2.106844   3.72             0.1              1         -99       -99          2.91     2            4               6         2.902    1            -99    
  CXOC100047.0+020710  46       150.19581   2.119341   1.38E-15      6.99E-15      7.13E-15      150.19608    2.119272   1236440    766977     150.19608    2.119272   23.82    0.04        150.196046   2.119266   21.09     0.02        150.196017   2.119277   33.88            0.13             1         -99       -99          -99.0    -99          -99             -99       1.865    3            248    
  CXOC100047.7+020757  47       150.1989    2.132551   9.66E-16      6.0E-15       6.09E-15      150.19897    2.132537   1637411    1018336    150.19897    2.132537   19.67    0.01        150.19899    2.132512   19.05     0.01        150.198984   2.132534   75.96            0.17             1         -99       -99          2.161    1            4               2         2.177    1            128    
  CXOC100048.4+020735  48       150.20186   2.126401   4.28E-15      2.13E-15      1.13E-14      150.201813   2.126347   1599093    -99        150.201813   2.126347   13.44    0.0         150.201887   2.126299   14.02     0.01        150.201838   2.126307   5350.7           6.92             1         1         -99          0.0      0            4               8         -99.0    -99          77     
  CXOC100049.9+020500  50       150.20789   2.083386   4.72E-14      6.52E-14      1.56E-13      150.20796    2.083337   1244668    771981     150.20796    2.083337   19.45    0.02        150.207987   2.083346   18.8      0.01        150.207971   2.083376   191.11           0.3              1         -99       -99          1.237    1            4               3         1.272    1            12     
